SI.NO,Customer ID,Feedback Channel,Rating,Comment,Date
461,C40252,Website Feedback,3,Love the new updates!,11-02-2021
462,C49659,Survey,3,Very responsive support team.,14-03-2022
463,C64378,Live Chat,4,I received wrong item.,12-05-2019
464,C31271,Social Media,1,Didn't meet my expectations.,08-10-2023
465,C28233,Survey,5,Love the new updates!,04-11-2023
466,C41885,Survey,2,Customer support was helpful.,30-03-2024
467,C66728,Customer interviews,1,Love the new updates!,06-04-2023
468,C18598,Live Chat,4,Excellent customer support!,27-11-2020
469,C12524,Email,4,Excellent customer support!,30-01-2021
470,C43112,Social Media,5,Excellent customer support!,02-01-2019
471,C59924,Website Feedback,3,Will recommend to others!,16-06-2019
472,C99357,Feedback,5,Product arrived damaged.,03-06-2020
473,C38141,Email,5,"Easy to use, very user-friendly.",19-06-2022
474,C79875,Customer interviews,3,Poor communication from the team.,18-04-2019
475,C49056,Feedback,2,Very responsive support team.,14-04-2022
476,C67091,Social Media,4,"Easy to use, very user-friendly.",20-07-2022
477,C25085,Survey,4,Will recommend to others!,08-04-2021
478,C31070,Feedback,4,"Great experience, very satisfied!",16-06-2024
479,C85445,Survey,5,Could improve product quality.,07-05-2022
480,C24919,Email,3,The service was excellent!,08-09-2020
481,C26803,Live Chat,1,Very responsive support team.,04-06-2023
482,C52577,Email,5,"Very quick delivery, thanks!",09-07-2024
483,C70183,Social Media,3,The service was excellent!,14-05-2022
484,C46468,Website Feedback,3,The service was excellent!,24-12-2019
485,C69625,Survey,5,Response time was a bit slow.,11-02-2024
486,C99225,Website Feedback,3,Response time was a bit slow.,31-07-2021
487,C71415,Live Chat,4,Poor communication from the team.,08-04-2023
488,C16160,Email,4,Too many ads on the platform.,24-09-2023
489,C76947,Feedback,3,Too many ads on the platform.,30-09-2022
490,C71755,Website Feedback,3,Product is overpriced.,12-12-2022
491,C29985,Website Feedback,1,"Very quick delivery, thanks!",12-07-2024
492,C76107,Feedback,3,"Very quick delivery, thanks!",05-08-2023
493,C75997,Website Feedback,3,Love the new updates!,25-02-2023
494,C90966,Live Chat,2,Shipping took longer than expected.,14-02-2024
495,C51672,Social Media,1,Too many bugs in the app.,08-08-2024
496,C45349,Live Chat,3,Too many ads on the platform.,04-11-2023
497,C36546,Feedback,5,Will recommend to others!,10-11-2021
498,C34641,Live Chat,4,Not happy with the service.,14-10-2020
499,C18644,Social Media,5,Could improve product quality.,06-02-2020
